CTAR,District,LATITUDE,LONGITUDE,id_ctar,year_opened,doses_2010,doses_2011,doses_2012,doses_2013,doses_2014,doses_2015,doses_2016,doses_2017,color,notes
Ambatomainty,Ambatomainty,-17.695978,45.665056,NA,2010,160,150,100,100,100,200,0,200,#FCC56F,NA
Ambatondrazaka,Ambatondrazaka,-17.827098,48.427714,7,2010,600,1050,1200,1550,1300,900,1400,2250,#FFDBE5,NA
Ambositra,Ambositra,-20.541096,47.241949,30,2010,200,250,300,300,700,1220,900,750,#7A4900,NA
Ambovombe Androy,Ambovombe-Androy,-25.179129,46.090171,NA,2010,175,200,100,100,300,400,400,200,#CBCDD2,NA
Antsirabe,Antsirabe I,-19.863613,47.031998,13,2010,1100,2000,2000,2400,3000,2350,1910,2100,#0000A6,NA
Antsiranana,Antsiranana I,-12.285258,49.293782,10,2010,200,600,300,450,1050,900,1050,500,#EFF2F1,NA
Antsohihy,Antsohihy,-14.874373,47.984594,14,2010,600,600,400,750,900,1200,1100,950,#99d8c9,NA
Bekily,Bekily,-24.220634,45.318265,12,2014,NA,NA,NA,175,340,0,180,100,#B79762,NA
Fianarantsoa,Fianarantsoa I,-21.443708,47.085264,2,2010,750,750,775,600,1050,700,1550,900,#004D43,NA
Ihosy,Ihosy,-22.40342,46.131772,16,2010,500,800,600,400,600,450,600,400,#8FB0FF,NA
IPM,Antananarivo Renivohitra,-18.902442,47.546393,5,2010,NA,NA,NA,NA,NA,NA,NA,NA,#997D87,NA
Maevatanana,Maevatanana,-16.950751,46.832413,17,2010,200,320,600,500,600,400,600,200,#FD9C54,NA
Mahajanga,Mahajanga I,-15.7161,46.305997,18,2010,960,720,960,490,960,960,1350,1070,#8362B5,offset position to match raster
Maintirano,Maintirano,-18.062014,44.023285,19,2010,250,200,100,100,600,500,1150,0,#578FB0,NA
Manakara,Manakara Atsimo,-22.149067,48.009406,31,2010,360,590,600,1000,900,900,800,650,#5A0007,NA
Mandritsara,Mandritsara,-15.846132,48.826894,15,2012,NA,550,200,900,900,1150,800,1000,#809693,NA
Manja,Manja,-21.433354,44.329435,23,2014,NA,NA,NA,NA,100,50,100,50,#D16100,NA
Maroantsetra,Maroantsetra,-15.437209,49.733626,4,2010,60,60,150,150,0,100,200,0,#1B4400,NA
Marolambo,Marolambo,-20.047674,48.131474,NA,2014,NA,NA,NA,NA,100,150,50,150,#4FC601,NA
Miarinarivo,Miarinarivo,-18.955469,46.906718,21,2010,350,300,425,350,350,500,535,750,#3B5DFF,NA
Moramanga,Moramanga,-18.948497,48.238305,8,2011,85,850,1000,764,1000,1000,1100,1800,#4A3B53,NA
Morondava,Morondava,-20.298613,44.298096,22,2010,450,700,400,400,700,550,600,450,#FF2F80,NA
Nosy be,Nosy-Be,-13.400584,48.264551,9,2010,240,320,350,600,0,100,350,300,#61615A,NA
Sainte Marie,Sainte Marie,-16.998974,49.854105,NA,2010,0,350,200,0,100,0,0,100,#BA0900,NA
Sambava,Sambava,-14.264613,50.131076,24,2014,650,500,500,800,850,800,1000,700,#6B7900,NA
Soanierana Ivongo,Soanierana Ivongo,-16.921092,49.587473,1,2010,NA,NA,NA,NA,600,1000,1500,1450,#00C2A0,NA
Taolagnaro,Taolagnaro,-25.023013,46.981242,25,2010,600,200,400,400,500,600,100,450,#FFAA92,NA
Toamasina,Toamasina I,-18.141944,49.41616,28,2010,1500,3200,3000,4650,4500,4700,4020,3700,#FF90C9,offset position to match raster
Toliara,Toliary-I,-23.352736,43.675883,26,2010,300,300,800,800,400,600,800,500,#B903AA,NA
Tsiroanomandidy,Tsiroanomandidy,-18.773509,46.048191,27,2010,500,500,625,875,750,750,1100,1000,#FEFFE6,NA
Vangaindrano,Vangaindrano,-23.35,47.6,3,NA,600,1300,700,1000,1100,800,600,1200,#E9E9D2,NA