ran,timestamp,path,R.version,platform,running,data.table,gdistance,Matrix,igraph,rgdal,raster,sp,malariaAtlas,ggplot2,doMPI,Rmpi,iterators,foreach,doParallel,forcats,stringr,dplyr,purrr,readr,tidyr,tibble,tidyverse,rgeos,stringdist,lubridate,geogrid,rjags,coda,ggthemes,glue,wesanderson,boot,doRNG,rngtools,pkgmaker,registry,magrittr,patchwork,scico,rasterVis,latticeExtra,RColorBrewer,lattice
##------ Fri Nov 15 12:37:12 2019 ------##,20191115_123712,R/01_gis/01_get_friction.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,0.0.4,3.2.1,"","","","","","","","","","","","","","","","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 12:59:29 2019 ------##,20191115_125929,R/01_gis/02_aggregate_WP.R,R version 3.6.1 (2019-07-05),x86_64-redhat-linux-gnu (64-bit),Springdale Linux 7.7 (Verona),1.12.6,"","","",1.4-3,2.8-19,1.3-1,"","",0.2.2,0.6-9,1.0.10,1.4.4,"","","","","","","","","","","","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 14:20:58 2019 ------##,20191115_142058,R/01_gis/03_run_baseline.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,1.2-2,1.2-17,1.2.4.1,1.4-6,3.0-7,1.3-1,0.0.4,3.2.1,"","",1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,"","","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 14:28:34 2019 ------##,20191115_142834,R/01_gis/04_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","","",0.8.3,"","","","","",0.5-2,"","","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 19:03:16 2019 ------##,20191115_190316,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","","",0.8.3,"","","","","",0.5-2,0.9.5.2,"","","","","","","","","","",,"",,"",,,,,
##------ Fri Nov 15 19:28:53 2019 ------##,20191115_192853,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"","","","","","","","","",0.8.3,"","","","","",0.5-2,0.9.5.2,1.7.4,"","","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 15:56:44 2019 ------##,20191116_155644,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,"","","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 15:57:22 2019 ------##,20191116_155722,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,"","","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 16:50:48 2019 ------##,20191116_165048,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 16:51:38 2019 ------##,20191116_165138,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 16:57:10 2019 ------##,20191116_165710,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 18:33:15 2019 ------##,20191116_183315,R/02_bitedata/01_match_names.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 18:33:32 2019 ------##,20191116_183332,R/02_bitedata/02_output_processed.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sat Nov 16 18:33:45 2019 ------##,20191116_183345,R/02_bitedata/03_estimate_biteinc.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,"","","","","",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,"","","","","","","","",,"",,"",,,,,
##------ Sun Nov 17 16:59:25 2019 ------##,20191117_165925,R/02_bitedata/03_estimate_biteinc.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,"",0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,"","","","","","",,"",,"",,,,,
##------ Mon Nov 18 11:20:52 2019 ------##,20191118_112052,R/03_bitemodels/01_run_bitemods.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,"","","","","",,"",,"",,,,,
##------ Mon Nov 18 12:34:10 2019 ------##,20191118_123410,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,1.3.1,"","","","",,"",,"",,,,,
##------ Mon Nov 18 12:51:56 2019 ------##,20191118_125156,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,1.3.1,0.3.6,"","","",,"",,"",,,,,
##------ Mon Nov 18 13:00:12 2019 ------##,20191118_130012,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,1.3.1,0.3.6,"","","",,"",,"",,,,,
##------ Mon Nov 18 13:38:34 2019 ------##,20191118_133834,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,1.3.1,0.3.6,"","","",,"",,"",,,,,
##------ Mon Nov 18 13:39:47 2019 ------##,20191118_133947,R/03_bitemodels/02_get_modpreds.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,1.3.1,0.3.6,"","","",,"",,"",,,,,
##------ Mon Nov 18 19:07:18 2019 ------##,20191118_190718,R/02_bitedata/03_estimate_biteinc.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,"","","",1.4-6,3.0-7,1.3-1,"",3.2.1,0.2.2,0.6-9,1.0.12,1.4.7,1.0.15,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,0.9.5.2,1.7.4,0.1.1,4-9,0.19-3,4.2.0,1.3.1,0.3.6,1.3-23,1.7.1,1.4,0.27,0.5-1,1.5,0.0.1,,,,,
##------ Tue Nov 19 18:05:48 2019 ------##,20191119_180548,R/05_vials_incremental.R,R version 3.6.1 (2019-07-05),x86_64-redhat-linux-gnu (64-bit),Springdale Linux 7.7 (Verona),1.12.6,"","","","","","","",3.1.1,0.2.2,0.6-9,1.0.10,1.4.4,1.0.14,0.4.0,1.4.0,0.8.0.1,0.3.2,1.3.1,0.8.3,2.1.1,1.2.1,"","","","","","","","","","",1.7.1,1.3.1.1,0.27,0.5-1,1.5,"",,,,,
##------ Tue Nov 19 18:30:50 2019 ------##,20191119_183050,R/05_vials_incremental.R,R version 3.6.1 (2019-07-05),x86_64-redhat-linux-gnu (64-bit),Springdale Linux 7.7 (Verona),1.12.6,"","","","","","","",3.1.1,0.2.2,0.6-9,1.0.10,1.4.4,1.0.14,0.4.0,1.4.0,0.8.0.1,0.3.2,1.3.1,0.8.3,2.1.1,1.2.1,"","","","","","","","","","",1.7.1,1.3.1.1,0.27,0.5-1,1.5,"",,,,,
##------ Wed Dec  4 14:00:44 2019 ------##,20191204_140044,R/01_gis/04_make_shapefiles.R,R version 3.6.1 (2019-07-05),x86_64-apple-darwin15.6.0 (64-bit),macOS Mojave 10.14.6,1.12.4,,,,1.4-6,3.0-7,1.3-1,,3.2.1,,,,,,0.4.0,1.4.0,0.8.3,0.3.2,1.3.1,1.0.0,2.1.3,1.2.1,0.5-2,,1.7.4,,,,,,,,,,,,,0.0.1,1.1.0,0.46,0.6-28,1.1-2,0.20-38
